simulation_name,parameter_name,parameter_value,ns,r
Chaotic (m-scan),v0,0.05353061224489797,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.05555102040816327,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.05757142857142858,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.05959183673469388,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.06161224489795919,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.0636326530612245,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.0656530612244898,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.0676734693877551,0.9669421483875055,0.13223140644997836
Chaotic (m-scan),v0,0.06969387755102041,0.9669421483875055,0.1322314064499783
Chaotic (m-scan),v0,0.07171428571428572,0.9669421483875055,0.1322314064499783
